Time,ID,vm,vt,x,Spike
0.00000000e+00,0,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,1,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,2,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,3,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,4,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,5,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,6,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,7,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,8,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
0.00000000e+00,9,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,0,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,1,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,2,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,3,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,4,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,5,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,6,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,7,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,8,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
1.00000000e-03,9,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,0,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,1,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,2,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,3,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,4,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,5,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,6,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,7,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,8,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
2.00000000e-03,9,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,0,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,1,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,2,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,3,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,4,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,5,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,6,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,7,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,8,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
3.00000000e-03,9,1.79999992e-02,-7.06000030e-02,8.13500031e-11,1.00000000e+00
